millis,rot_x,rot_y,rot_z,angvel_x,angvel_y,angvel_z,target_mot_x,target_mot_y,target_mot_z,target_angular_vel_x,target_angular_vel_y,target_angular_vel_z,target_rot_x,target_rot_y,target_rot_z
4235,0.0609,-0.0740,1.4341,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4167,-0.1472,0.0078,-1.7098,0.0000,-0.0000,0.0000
4259,0.0609,-0.0740,1.4339,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4276,-0.1475,0.0078,-1.7138,0.0000,-0.0000,0.0000
4273,0.0609,-0.0739,1.4335,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4354,-0.1479,0.0078,-1.7177,0.0000,-0.0000,0.0000
4293,0.0609,-0.0739,1.4332,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4434,-0.1482,0.0078,-1.7217,0.0000,-0.0000,0.0000
4309,0.0609,-0.0741,1.4328,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4512,-0.1487,0.0079,-1.7256,0.0000,-0.0000,0.0000
4323,0.0609,-0.0741,1.4326,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4569,-0.1490,0.0079,-1.7285,0.0000,-0.0000,0.0000
4329,0.0609,-0.0741,1.4326,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4593,-0.1491,0.0079,-1.7296,0.0000,-0.0000,0.0000
4346,0.0609,-0.0741,1.4323,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4678,-0.1495,0.0079,-1.7339,0.0000,-0.0000,0.0000
4355,0.0609,-0.0741,1.4323,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4730,-0.1497,0.0079,-1.7365,0.0000,-0.0000,0.0000
4373,0.0609,-0.0741,1.4321,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4811,-0.1500,0.0079,-1.7405,0.0000,-0.0000,0.0000
4395,0.0609,-0.0741,1.4317,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4918,-0.1505,0.0079,-1.7459,0.0000,-0.0000,0.0000
4404,0.0609,-0.0741,1.4315,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4947,-0.1506,0.0079,-1.7473,0.0000,-0.0000,0.0000
4413,0.0609,-0.0741,1.4315,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.4998,-0.1509,0.0079,-1.7499,0.0000,-0.0000,0.0000
4423,0.0607,-0.0741,1.4313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5027,-0.1510,0.0079,-1.7513,0.0000,-0.0000,0.0000
4444,0.0607,-0.0741,1.4313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5109,-0.1512,0.0080,-1.7555,0.0000,-0.0000,0.0000
4450,0.0607,-0.0741,1.4310,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5133,-0.1513,0.0080,-1.7566,0.0000,-0.0000,0.0000
4475,0.0607,-0.0741,1.4308,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.5270,-0.1519,0.0080,-1.7635,0.0000,-0.0000,0.0000
4480,0.0607,-0.0741,1.4308,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5270,-0.1520,0.0080,-1.7649,0.0000,-0.0000,0.0000
4491,0.0607,-0.0741,1.4306,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.5352,-0.1523,0.0080,-1.7676,0.0000,-0.0000,0.0000
4513,0.0607,-0.0742,1.4304,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.5462,-0.1529,0.0082,-1.7731,0.0000,-0.0000,0.0000
4522,0.0607,-0.0742,1.4302,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5485,-0.1530,0.0081,-1.7743,0.0000,-0.0000,0.0000
4533,0.0607,-0.0742,1.4299,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.5537,-0.1533,0.0081,-1.7769,0.0000,-0.0000,0.0000
4560,0.0607,-0.0742,1.4296,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5644,-0.1537,0.0081,-1.7822,0.0000,-0.0000,0.0000
4578,0.0607,-0.0742,1.4292,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.5723,-0.1541,0.0081,-1.7861,0.0000,-0.0000,0.0000
4593,0.0607,-0.0742,1.4290,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5776,-0.1543,0.0081,-1.7888,0.0000,-0.0000,0.0000
4608,0.0607,-0.0742,1.4289,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5830,-0.1546,0.0081,-1.7915,0.0000,-0.0000,0.0000
4620,0.0607,-0.0742,1.4287,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5883,-0.1548,0.0081,-1.7942,0.0000,-0.0000,0.0000
4635,0.0607,-0.0742,1.4285,0.0000,0.0000,0.0000,0.0000,0.0000,-3.5937,-0.1550,0.0081,-1.7968,0.0000,-0.0000,0.0000
4653,0.0606,-0.0742,1.4282,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.6016,-0.1552,0.0082,-1.8008,0.0000,-0.0000,0.0000
4659,0.0606,-0.0742,1.4282,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6044,-0.1554,0.0082,-1.8022,0.0000,-0.0000,0.0000
4679,0.0606,-0.0742,1.4278,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6123,-0.1557,0.0082,-1.8061,0.0000,-0.0000,0.0000
4694,0.0606,-0.0743,1.4276,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6176,-0.1561,0.0083,-1.8088,0.0000,-0.0000,0.0000
4706,0.0606,-0.0743,1.4276,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6233,-0.1564,0.0084,-1.8116,0.0000,-0.0000,0.0000
4718,0.0606,-0.0743,1.4276,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6288,-0.1566,0.0084,-1.8144,0.0000,-0.0000,0.0000
4727,0.0606,-0.0743,1.4274,0.0000,0.0000,0.0000,-0.0000,0.0000,-3.6341,-0.1568,0.0083,-1.8170,0.0000,-0.0000,0.0000
4747,0.0606,-0.0743,1.4272,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6409,-0.1571,0.0083,-1.8204,0.0000,-0.0000,0.0000
4766,0.0606,-0.0743,1.4270,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6409,-0.1571,0.0083,-1.8204,0.0000,-0.0000,0.0000
4775,0.0606,-0.0743,1.4270,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6405,-0.1571,0.0083,-1.8203,0.0000,-0.0000,0.0000
4818,0.0606,-0.0743,1.4267,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6398,-0.1571,0.0083,-1.8199,0.0000,-0.0000,0.0000
4824,0.0606,-0.0743,1.4267,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6398,-0.1571,0.0083,-1.8199,0.0000,-0.0000,0.0000
4840,0.0606,-0.0743,1.4264,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6391,-0.1571,0.0083,-1.8196,0.0000,-0.0000,0.0000
4849,0.0606,-0.0743,1.4263,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6390,-0.1571,0.0083,-1.8195,0.0000,-0.0000,0.0000
4872,0.0606,-0.0743,1.4261,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6386,-0.1570,0.0083,-1.8193,0.0000,-0.0000,0.0000
4878,0.0606,-0.0743,1.4259,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6383,-0.1570,0.0082,-1.8191,0.0000,-0.0000,0.0000
4892,0.0606,-0.0743,1.4257,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6379,-0.1570,0.0082,-1.8190,0.0000,-0.0000,0.0000
4907,0.0606,-0.0744,1.4256,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6376,-0.1572,0.0084,-1.8188,0.0000,-0.0000,0.0000
4923,0.0606,-0.0744,1.4254,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6372,-0.1571,0.0083,-1.8186,0.0000,-0.0000,0.0000
4942,0.0606,-0.0744,1.4252,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6369,-0.1571,0.0083,-1.8184,0.0000,-0.0000,0.0000
4950,0.0606,-0.0744,1.4252,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6369,-0.1571,0.0083,-1.8184,0.0000,-0.0000,0.0000
4967,0.0604,-0.0744,1.4249,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6362,-0.1570,0.0085,-1.8181,0.0000,-0.0000,0.0000
4981,0.0604,-0.0744,1.4247,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6362,-0.1570,0.0085,-1.8181,0.0000,-0.0000,0.0000
4995,0.0604,-0.0744,1.4246,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6357,-0.1569,0.0084,-1.8178,0.0000,-0.0000,0.0000
5003,0.0604,-0.0744,1.4244,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6357,-0.1569,0.0084,-1.8178,0.0000,-0.0000,0.0000
5017,0.0604,-0.0744,1.4243,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6350,-0.1569,0.0084,-1.8175,0.0000,-0.0000,0.0000
5034,0.0604,-0.0744,1.4241,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6347,-0.1569,0.0084,-1.8173,0.0000,-0.0000,0.0000
5042,0.0604,-0.0744,1.4241,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6347,-0.1569,0.0084,-1.8173,0.0000,-0.0000,0.0000
5058,0.0604,-0.0744,1.4240,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6345,-0.1569,0.0084,-1.8172,0.0000,-0.0000,0.0000
5074,0.0604,-0.0744,1.4238,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6341,-0.1569,0.0084,-1.8171,0.0000,-0.0000,0.0000
5086,0.0604,-0.0744,1.4238,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6340,-0.1569,0.0084,-1.8170,0.0000,-0.0000,0.0000
5110,0.0604,-0.0744,1.4235,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6334,-0.1568,0.0084,-1.8167,0.0000,-0.0000,0.0000
5129,0.0604,-0.0744,1.4233,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6331,-0.1568,0.0083,-1.8165,0.0000,-0.0000,0.0000
5145,0.0604,-0.0744,1.4233,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6331,-0.1568,0.0083,-1.8165,0.0000,-0.0000,0.0000
5151,0.0604,-0.0744,1.4231,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6328,-0.1568,0.0083,-1.8164,0.0000,-0.0000,0.0000
5167,0.0604,-0.0744,1.4230,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6324,-0.1568,0.0083,-1.8162,0.0000,-0.0000,0.0000
5199,0.0604,-0.0745,1.4226,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6317,-0.1569,0.0084,-1.8158,0.0000,-0.0000,0.0000
5216,0.0604,-0.0745,1.4224,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6312,-0.1569,0.0084,-1.8156,0.0000,-0.0000,0.0000
5219,0.0604,-0.0745,1.4224,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6312,-0.1569,0.0084,-1.8156,0.0000,-0.0000,0.0000
5235,0.0604,-0.0745,1.4224,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6312,-0.1569,0.0084,-1.8156,0.0000,-0.0000,0.0000
5261,0.0603,-0.0745,1.4219,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6303,-0.1567,0.0085,-1.8152,0.0000,-0.0000,0.0000
